timestamp,packet_type,rssi,rate,channel,bandwidth,data_length,esp_timestamp,csi_data,seq
2026-06-13T22:21:02.875492,csi,-15,11,1,20,256,40985,"[75, -80, 4, 0, -17, -23, -16, -22, -16, -22, -16, -21, -18, -20, -18, -19, -18, -19, -18, -17, -18, -18, -19, -18, -19, -18, -19, -17, -20, -16, -21, -16, -21, -16, -21, -17, -19, -17, -20, -17, -18, -17, -18, -17, -17, -17, -15, -18, -14, -19, -12, -19, -10, -19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -11, -16, -10, -16, -10, -18, -10, -19, -9, -20, -9, -20, -9, -21, -8, -22, -8, -22, -6, -23, -5, -24, -5, -24, -5, -24, -5, -23, -6, -22, -8, -23, -8, -22, -9, -23, -10, -23, -12, -22, -12, -22, -13, -22, -12, -23, -13, -24, -13, -24, -13, -25, -1, -1, -33, -40, -36, -42, -33, -38, -33, -39, -33, -37, -35, -36, -34, -34, -35, -33, -37, -31, -37, -31, -38, -30, -38, -29, -41, -28, -40, -26, -42, -28, -41, -27, -42, -28, -38, -27, -39, -29, -36, -29, -35, -30, -33, -29, -32, -32, -30, -33, -26, -33, -23, -33, -24, -35, -18, -34, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 0, 0, 0, 0, -30, -19, -26, -23, -24, -28, -21, -29, -22, -32, -20, -33, -19, -36, -19, -37, -19, -39, -18, -40, -17, -41, -16, -44, -15, -43, -14, -43, -14, -43, -15, -43, -15, -41, -19, -42, -18, -40, -19, -41, -22, -40, -24, -40, -25, -41, -28, -42, -27, -42, -28, -42, -28, -42, -27, -43]",71
2026-06-13T22:21:02.920270,csi,-15,11,1,20,256,89172,"[75, -80, 4, 0, -24, 15, -24, 15, -21, 15, -22, 15, -20, 16, -20, 16, -19, 16, -18, 17, -18, 17, -17, 18, -17, 18, -17, 19, -17, 19, -16, 19, -17, 19, -17, 20, -17, 18, -18, 18, -17, 17, -18, 16, -18, 14, -18, 14, -19, 13, -19, 12, -20, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -16, 11, -17, 10, -18, 9, -19, 9, -19, 8, -21, 8, -21, 7, -22, 7, -23, 6, -23, 6, -24, 6, -24, 5, -24, 5, -23, 6, -23, 6, -23, 7, -23, 7, -22, 7, -23, 9, -22, 10, -23, 11, -23, 12, -23, 11, -24, 13, -25, 14, -25, 15, -1, -1, -46, 21, -49, 21, -45, 20, -45, 21, -44, 21, -44, 23, -41, 22, -39, 23, -39, 26, -38, 27, -38, 28, -36, 29, -37, 30, -36, 30, -37, 32, -36, 30, -38, 30, -37, 29, -38, 28, -37, 26, -38, 25, -37, 21, -39, 21, -38, 19, -37, 16, -37, 13, -42, 1, -39, -5, -1, -1, -1, -1, -1, -1, -1, -1, 0, 0, 0, 0, 0, 0, -31, 15, -33, 12, -31, 15, -33, 12, -35, 12, -35, 10, -39, 9, -40, 9, -42, 6, -42, 6, -43, 5, -44, 4, -45, 3, -45, 2, -44, 3, -44, 3, -42, 4, -45, 5, -43, 6, -44, 7, -44, 10, -44, 10, -45, 13, -45, 15, -47, 14, -47, 16, -46, 18, -47, 17]",72
2026-06-13T22:21:02.961116,csi,-15,11,1,20,256,139161,"[75, -80, 4, 0, -29, -9, -24, -7, -28, -9, -25, -7, -26, -7, -26, -6, -26, -7, -24, -4, -27, -5, -26, -3, -25, -3, -25, -3, -23, -2, -28, 0, -24, 0, -29, -2, -24, -3, -25, -3, -24, -4, -24, -5, -23, -5, -25, -8, -22, -8, -20, -9, -18, -10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -19, -5, -17, -6, -20, -8, -18, -8, -21, -10, -18, -10, -21, -12, -19, -13, -20, -13, -20, -17, -19, -16, -19, -16, -19, -16, -19, -15, -17, -13, -22, -14, -18, -12, -22, -14, -20, -11, -23, -12, -22, -12, -24, -10, -25, -13, -26, -12, -26, -11, -25, -10, -1, -1, -37, 13, -39, 15, -35, 14, -37, 14, -34, 15, -34, 15, -33, 15, -33, 15, -30, 18, -31, 18, -30, 20, -28, 19, -29, 21, -28, 21, -31, 24, -28, 22, -32, 22, -28, 20, -31, 20, -29, 17, -31, 16, -29, 15, -32, 13, -31, 11, -29, 10, -28, 7, -31, 30, -31, 23, -1, -1, -1, -1, -1, -1, -1, -1, 0, 0, 0, 0, 0, 0, -11, 32, -15, 31, -26, 11, -26, 9, -29, 7, -28, 7, -32, 6, -31, 5, -34, 4, -33, 3, -35, 3, -36, 0, -35, 0, -34, 0, -35, 0, -34, 1, -32, 2, -36, 3, -33, 4, -35, 3, -34, 6, -36, 7, -35, 7, -37, 9, -37, 9, -37, 9, -37, 10, -37, 9]",73
2026-06-13T22:21:02.998160,csi,-15,11,1,20,256,189170,"[75, -80, 4, 0, 17, 20, 18, 21, 17, 19, 18, 19, 18, 18, 18, 17, 18, 17, 18, 16, 18, 15, 19, 15, 19, 14, 20, 15, 21, 15, 20, 14, 21, 15, 20, 15, 19, 16, 19, 16, 18, 16, 17, 16, 16, 16, 14, 17, 14, 17, 12, 18, 10, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 12, 13, 13, 13, 14, 13, 16, 12, 16, 12, 18, 11, 19, 11, 19, 10, 20, 10, 20, 10, 21, 9, 21, 9, 22, 10, 21, 10, 21, 10, 20, 10, 21, 11, 20, 12, 21, 13, 20, 14, 20, 15, 20, 13, 20, 15, 22, 17, 22, 18, 22, -1, -1, 33, 39, 34, 39, 33, 38, 33, 38, 33, 36, 34, 35, 35, 34, 34, 32, 36, 30, 36, 30, 37, 29, 37, 27, 39, 27, 39, 26, 41, 27, 40, 28, 40, 29, 37, 29, 37, 30, 34, 30, 33, 31, 31, 30, 29, 33, 27, 33, 24, 33, 20, 35, 17, 37, 11, 38, -1, -1, -1, -1, -1, -1, -1, -1, 0, 0, 0, 0, 0, 0, 28, 19, 25, 23, 25, 23, 24, 26, 24, 29, 23, 30, 22, 33, 22, 34, 21, 36, 20, 37, 19, 39, 18, 41, 18, 41, 16, 41, 17, 42, 17, 41, 18, 40, 20, 40, 19, 38, 21, 39, 23, 39, 24, 39, 26, 39, 28, 39, 27, 40, 29, 41, 30, 40, 30, 42]",74
2026-06-13T22:21:03.038200,csi,-15,11,1,20,256,247959,"[75, -80, 4, 0, -18, -3, -19, -3, -17, -2, -17, -2, -17, -1, -17, 0, -17, 0, -17, 0, -16, 1, -17, 1, -16, 1, -17, 1, -17, 2, -16, 2, -18, 2, -16, 2, -17, 1, -17, 1, -16, 0, -16, 0, -16, -1, -15, -1, -15, -2, -15, -3, -14, -4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -12, -1, -13, -2, -13, -3, -14, -3, -13, -4, -14, -5, -14, -5, -15, -6, -14, -6, -14, -6, -15, -7, -15, -7, -15, -7, -14, -7, -15, -6, -14, -7, -15, -7, -14, -6, -15, -5, -15, -4, -16, -4, -17, -4, -16, -4, -17, -4, -19, -3, -19, -2, -1, -1, -30, 9, -29, 8, -29, 9, -27, 9, -28, 9, -26, 11, -26, 10, -25, 11, -25, 12, -24, 12, -25, 13, -24, 13, -24, 14, -24, 15, -24, 15, -24, 15, -24, 14, -24, 14, -25, 13, -24, 12, -24, 11, -23, 9, -24, 8, -24, 8, -24, 5, -24, 4, -22, 12, -24, 9, -1, -1, -1, -1, -1, -1, -1, -1, 0, 0, 0, 0, 0, 0, -12, 18, -15, 17, -20, 7, -21, 6, -21, 5, -23, 4, -23, 4, -25, 2, -25, 2, -26, 1, -25, 0, -27, -1, -27, -1, -26, -2, -28, -2, -27, -1, -27, 0, -26, 0, -26, 1, -26, 1, -27, 3, -27, 4, -27, 5, -28, 5, -28, 5, -29, 5, -29, 6, -30, 6]",75
2026-06-13T22:21:03.081270,csi,-15,11,1,20,256,289863,"[75, -80, 4, 0, 8, 15, 8, 14, 9, 14, 8, 13, 9, 13, 9, 13, 9, 13, 9, 12, 10, 12, 11, 11, 11, 11, 11, 11, 11, 11, 12, 11, 12, 11, 12, 12, 11, 11, 10, 12, 10, 12, 9, 12, 9, 11, 8, 12, 7, 12, 6, 12, 5, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 10, 5, 10, 5, 11, 5, 11, 5, 12, 4, 12, 3, 13, 3, 14, 3, 14, 2, 15, 2, 15, 2, 14, 2, 15, 2, 15, 2, 14, 3, 15, 3, 14, 4, 14, 4, 14, 5, 14, 5, 14, 6, 15, 6, 15, 7, 15, 7, 15, 7, 15, -1, -1, 37, 55, 34, 54, 38, 56, 34, 48, 39, 51, 39, 50, 36, 47, 38, 47, 38, 45, 40, 40, 46, 38, 45, 38, 48, 36, 49, 37, 47, 39, 49, 42, 45, 38, 45, 41, 44, 44, 38, 43, 39, 43, 34, 41, 34, 41, 34, 42, 29, 42, 25, 46, 20, 42, 17, 51, -1, -1, -1, -1, -1, -1, -1, -1, 0, 0, 0, 0, 0, 0, 34, 23, 33, 30, 27, 34, 24, 39, 22, 41, 23, 46, 19, 44, 20, 50, 17, 51, 16, 51, 12, 54, 14, 54, 16, 55, 14, 53, 16, 55, 17, 53, 16, 55, 14, 53, 16, 54, 17, 49, 23, 56, 22, 55, 25, 54, 27, 55, 27, 52, 33, 54, 34, 53, 34, 57]",76
2026-06-13T22:21:03.133855,csi,-15,11,1,20,256,341910,"[75, -80, 4, 0, 28, -1, 28, -1, 26, -3, 25, -2, 26, -2, 25, -2, 25, -3, 24, -4, 24, -6, 23, -9, 23, -9, 23, -9, 24, -9, 23, -9, 24, -8, 24, -9, 23, -7, 25, -6, 23, -4, 24, -5, 23, -3, 22, -4, 22, -4, 21, -2, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, -2, 19, 0, 19, 1, 20, 2, 21, 2, 20, 4, 21, 6, 21, 7, 21, 8, 22, 7, 23, 6, 23, 6, 23, 6, 22, 6, 22, 7, 22, 6, 22, 6, 23, 4, 23, 4, 24, 5, 24, 4, 25, 4, 25, 2, 27, -1, 27, -1, 26, 0, -1, -1, 44, 14, 43, 16, 44, 16, 40, 11, 41, 13, 42, 12, 40, 12, 41, 8, 42, 8, 40, 4, 41, 2, 41, 2, 43, 1, 45, 1, 41, 2, 44, 3, 42, 0, 42, 3, 43, 5, 39, 6, 41, 6, 38, 10, 37, 7, 36, 8, 35, 10, 33, 14, 23, 30, 21, 35, 0, 0, 0, 0, -1, -1, 0, 0, 0, 0, -1, -1, -1, -1, 30, 13, 28, 17, 29, 8, 29, 12, 28, 13, 30, 16, 29, 16, 31, 20, 29, 22, 30, 23, 29, 25, 31, 23, 31, 23, 31, 24, 30, 24, 31, 24, 31, 24, 29, 23, 31, 24, 31, 20, 34, 22, 34, 21, 37, 20, 37, 20, 39, 18, 40, 15, 41, 15, 41, 18]",77
2026-06-13T22:21:03.175289,csi,-15,11,1,20,256,389312,"[75, -80, 4, 0, 11, 12, 12, 13, 10, 11, 12, 12, 12, 10, 12, 10, 12, 10, 12, 9, 12, 8, 12, 9, 12, 9, 13, 9, 14, 9, 13, 8, 14, 9, 13, 8, 13, 9, 13, 9, 12, 9, 12, 9, 11, 9, 10, 9, 9, 10, 8, 11, 8, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 8, 8, 9, 7, 9, 8, 11, 7, 10, 7, 12, 7, 12, 7, 12, 6, 13, 6, 13, 6, 14, 5, 14, 6, 14, 6, 13, 6, 14, 6, 13, 7, 14, 6, 12, 8, 13, 9, 13, 9, 12, 10, 13, 9, 12, 10, 14, 11, 14, 12, 14, -1, -1, 45, 46, 47, 47, 45, 44, 48, 45, 45, 43, 48, 39, 49, 36, 48, 36, 49, 31, 51, 34, 50, 34, 49, 33, 50, 31, 51, 29, 56, 28, 52, 28, 56, 32, 51, 32, 52, 31, 49, 31, 47, 33, 45, 31, 42, 37, 39, 39, 34, 39, 30, 39, 35, 42, 24, 43, 0, 0, -1, -1, -1, -1, 0, 0, 0, 0, 0, 0, -1, -1, 36, 26, 32, 33, 30, 32, 29, 33, 31, 37, 29, 38, 30, 42, 27, 42, 29, 46, 25, 47, 28, 49, 22, 53, 21, 55, 19, 53, 20, 55, 21, 52, 22, 50, 27, 50, 26, 48, 29, 49, 31, 48, 35, 48, 36, 47, 40, 47, 38, 50, 37, 52, 38, 51, 39, 52]",78
2026-06-13T22:21:03.234551,csi,-15,11,1,20,256,467317,"[75, -80, 4, 0, 2, -29, 1, -26, 2, -29, 1, -26, 1, -26, 0, -26, 0, -26, -1, -25, -2, -27, -4, -26, -4, -25, -4, -24, -4, -24, -6, -27, -5, -25, -4, -28, -3, -25, -2, -26, -1, -25, -1, -25, 0, -23, 1, -25, 1, -23, 2, -22, 4, -21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, -20, 2, -19, 3, -21, 3, -20, 5, -22, 6, -20, 7, -22, 9, -21, 9, -21, 10, -23, 10, -23, 10, -22, 10, -22, 9, -21, 9, -20, 9, -24, 8, -21, 8, -24, 7, -23, 7, -24, 6, -24, 5, -26, 6, -26, 5, -28, 4, -28, 5, -27, -1, -1, -21, -33, -24, -34, -21, -31, -22, -33, -22, -30, -23, -29, -23, -28, -22, -28, -24, -25, -26, -27, -27, -26, -26, -24, -28, -23, -25, -23, -30, -25, -27, -22, -29, -24, -25, -23, -26, -26, -23, -25, -22, -26, -21, -23, -21, -28, -20, -26, -17, -26, -13, -26, -38, -21, -31, -23, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 0, 0, 0, 0, -35, -6, -35, -11, -16, -24, -13, -24, -14, -28, -13, -27, -13, -30, -11, -29, -11, -32, -10, -32, -10, -32, -8, -36, -7, -35, -7, -34, -8, -36, -8, -34, -8, -32, -11, -34, -10, -30, -12, -33, -13, -32, -15, -33, -15, -33, -17, -34, -17, -34, -17, -35, -18, -34, -16, -35]",79
2026-06-13T22:21:03.307398,csi,-15,11,1,20,256,492254,"[75, -80, 4, 0, -9, -16, -9, -16, -9, -16, -9, -15, -9, -15, -9, -15, -9, -14, -10, -14, -10, -14, -11, -13, -11, -13, -12, -13, -12, -12, -12, -13, -12, -13, -12, -13, -11, -13, -10, -14, -9, -14, -9, -13, -8, -13, -8, -14, -8, -14, -6, -14, -5, -14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -7, -11, -6, -11, -6, -12, -6, -13, -6, -13, -5, -14, -4, -14, -4, -15, -3, -15, -4, -16, -4, -16, -3, -16, -3, -16, -3, -16, -3, -15, -4, -16, -4, -15, -4, -15, -5, -15, -5, -16, -6, -16, -6, -16, -6, -16, -8, -16, -8, -16, -8, -17, -1, -1, -23, -26, -22, -26, -22, -24, -22, -23, -22, -23, -23, -23, -22, -22, -22, -21, -24, -20, -24, -19, -25, -18, -25, -17, -27, -17, -27, -16, -27, -18, -26, -18, -26, -17, -24, -18, -25, -19, -22, -19, -22, -20, -21, -19, -20, -20, -19, -20, -18, -21, -15, -22, -18, -19, -15, -22, 0, 0, 0, 0, -1, -1, 0, 0, 0, 0, -1, -1, -1, -1, -21, -8, -21, -11, -17, -17, -16, -18, -15, -20, -15, -21, -14, -22, -14, -23, -13, -24, -13, -25, -12, -26, -12, -27, -12, -27, -11, -27, -12, -27, -12, -27, -12, -27, -13, -26, -14, -25, -14, -25, -16, -26, -16, -26, -17, -25, -18, -26, -18, -26, -20, -26, -21, -26, -20, -26]",80
